counter_party,timestamp,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x238468ef5af2396f01ea9670fa9740ea8f07e304,2024-01-12 22:09:11,1,0,1.955962125427,0.0
0x23f0c48ae9bfee794d85018c611b3819a9ca6dcd,2024-01-12 18:12:11,0,1,0.0,0.2199778
0x24094c8ccda7a5aa33aac6bd2ebb6a875d5afb20,2024-01-12 02:42:23,1,0,1.077173991935,0.0
0x24216f13c3e5cca5d252106af5e85374279b48ba,2024-01-12 09:09:23,0,1,0.0,3.5176768
0x249e50aafe49ea510341ac49ccf15b142ce7e1d9,2024-01-12 15:49:11,0,2,0.0,0.06583293
0x24f659a26f2cbf25cbb06eda1a3fd23190d5a195,2024-01-12 19:11:47,0,1,0.0,0.0395584
0x24ffbae854189c289da698d7ca6d566c735df9e1,2024-01-12 20:09:11,0,1,0.0,0.1108
0x256223519535e8511b5866f53dda073c12b7f621,2024-01-12 18:50:23,0,1,0.0,0.0092834
0x2570896f192c3d1094d46cb18ac43ac6bc0f6a07,2024-01-12 06:03:23,0,1,0.0,0.05417302
0x25e085bbe1a0cba8bdf780c6a5ae8f6af13410e1,2024-01-12 16:03:11,0,2,0.0,0.308
0x25e66380efe5d59c0b39134ac9398b3f2749a55d,2024-01-12 16:58:23,0,1,0.0,0.0870109
0x263ee5c9b330e24f3089bcd83ae2ebfc65e45689,2024-01-12 15:18:23,1,0,4.757750497962,0.0
0x26d338151193267498b113d9bd77c29b3836ee01,2024-01-12 07:14:23,0,1,0.0,0.0171808
0x27928e398f9899ccbdad3902131e60fbd60cabe1,2024-01-12 16:40:11,0,2,0.0,0.0513446
0x27c7deac6828a78ae66449117fd83c607614af69,2024-01-12 11:04:47,0,1,0.0,1.228
0x27d9fae4e12e6d66cbc8584c9f545e7319769829,2024-01-12 05:57:35,0,1,0.0,1.76803811
0x285fab5ad98dde9648268b056ab43cd55d2b1296,2024-01-12 12:33:35,0,1,0.0,7.6943
0x288b3b83e99a746d8a5c3433a898dc7641bb7037,2024-01-12 05:19:23,0,1,0.0,0.0113866
0x28d672acfb06c4dc05c296b52b0fd8d3fed7aae5,2024-01-12 12:40:47,0,1,0.0,7.81732
0x2929b799cdbf6701d937212a970034b93d2c82d5,2024-01-12 10:10:35,0,1,0.0,0.02988546
0x293bf0ef73d34e18984c2cbdedc3ab431c52e31a,2024-01-12 05:01:59,0,1,0.0,0.0353626
0x29a9b13c85a767a0a414cdd7448df24c9874a9a2,2024-01-12 12:33:23,0,1,0.0,0.6126847
0x29bce33625697033c7bd4ff528804c839e4fc6d1,2024-01-12 14:54:11,0,1,0.0,0.0224
0x29c0243c8369f866b22225415a0113bf9ed06e08,2024-01-12 20:44:23,0,1,0.0,5.9982937
0x2a6eeec48fa07c70c37c48208b0e1b3603e4766c,2024-01-12 08:36:23,0,1,0.0,0.67611617
0x2b2c5f2f10ca81fde0adc4675173d8edf6b485fe,2024-01-12 15:59:23,0,1,0.0,0.218
0x2b69451c634926ef69c1af17aaf438848aea9cb3,2024-01-12 11:50:11,0,1,0.0,0.0224
0x2b7ead360ca234f68004308ba2a02b542c05c484,2024-01-12 16:08:11,0,1,0.0,0.11790234
0x2ba8d7a7d1195c7b0e7e51968f3280abd969a1fd,2024-01-12 17:42:23,0,1,0.0,0.0637342
0x2bb4101c8a7d979bf61616263169c390224609aa,2024-01-12 11:39:59,0,1,0.0,0.0224
0x2bb7118b9704be4a69e78499107bd169f048150a,2024-01-12 13:08:11,0,1,0.0,0.07592178
0x2c3c561e42cde799748eca1b0b6c8eb21e063ba7,2024-01-12 06:46:59,0,1,0.0,0.1964014
0x2c7bc174c2a3b303c25cb115ab0e0781a3d4b6b0,2024-01-12 12:27:23,1,0,7.261159617439,0.0
0x2c9d21709e463f4a7d39717d400806b00ac2683c,2024-01-12 03:26:23,0,1,0.0,0.1244734
0x2cd4a8b43be6122db9fc8ba2494fd2255f92b392,2024-01-12 23:12:23,1,0,2.488275375327,0.0
0x2d0a3dc19d46d683bd73995475987327241a59b0,2024-01-12 08:14:11,0,1,0.0,0.3827149
0x2d2741f5a21723bfea931be4f8de12db6b301588,2024-01-12 23:36:59,0,1,0.0,0.0152827
0x2d5671ea7155e214265ae2113522bdfa74d2e5bc,2024-01-12 20:39:11,1,0,1.259457185971,0.0
0x2da9e07e94d67c31e67132c37a9db021a60f7896,2024-01-12 15:27:11,0,1,0.0,0.1534444
0x2e1b184870a6c0e6406fd8ee353ba87847bab2ba,2024-01-12 21:45:11,0,1,0.0,0.0137643
0x2e27f23991f494fcf7ce7b2116e21b8d4cb3795c,2024-01-12 11:17:11,0,1,0.0,0.0224
0x2f47a5e5f40a02f97c48ce2b9f9c449c2a623c58,2024-01-12 17:42:23,0,1,0.0,0.0093886
0x2f88f7aa2e576a9cb79390a8be6ad0d7339bbd0e,2024-01-12 14:34:35,0,2,0.0,0.1183999999999999
0x2faccbea7e0170f1655ab14f721582adffed9f86,2024-01-12 10:40:47,0,1,0.0,6.14841402
0x2fedb4afea4207a8901e8029937fc2c706d758b7,2024-01-12 21:45:11,0,1,0.0,0.18774646
0x2fee42aced2c578adbb7fc946acaf4ee81ebb78d,2024-01-12 15:16:23,0,1,0.0,0.1740238
0x30004a224d3676276c96a2410212233cbec82b9c,2024-01-12 11:57:11,1,0,7.874380045878,0.0
0x3087ce4a627fb2c81552fdab3f70f1afffd3b894,2024-01-12 16:26:47,0,1,0.0,0.0353626
0x30a62644e64c7f51835f15567626289b579e1c12,2024-01-12 02:56:47,0,1,0.0,0.0505474
